user_id,activated_7d,adopted_recurring_buy,retained_7d,support_contact_7d,net_deposits_7d
1,1,1,1,0,127.49
2,1,0,1,0,0.0
3,1,1,1,0,0.0
4,1,0,0,0,65.1
5,1,1,0,0,79.06
6,0,1,0,1,86.15
7,1,0,1,0,49.13
8,1,0,1,0,60.64
9,1,0,0,0,0.0
10,1,0,0,0,0.0
11,1,0,1,0,104.43
12,1,0,0,0,84.65
13,0,1,1,0,183.99
14,0,1,1,1,61.91
15,1,1,0,1,31.98
16,0,1,1,0,0.0
17,0,1,0,0,149.65
18,0,0,0,0,59.22
19,0,0,0,0,0.0
20,1,0,0,0,97.02
21,1,1,1,1,200.22
22,1,0,0,0,46.32
23,0,0,0,0,0.0
24,0,1,1,0,272.34
25,0,0,1,0,84.66
26,0,0,0,0,0.0
27,0,1,0,0,51.72
28,0,0,0,0,72.3
29,1,0,0,0,0.0
30,0,0,0,0,0.0
31,0,1,0,0,46.34
32,0,0,0,0,13.5
33,0,0,0,0,0.0
34,0,0,0,0,49.13
35,1,0,0,0,79.12
36,0,0,1,0,0.0
37,0,0,1,1,74.59
38,1,0,0,0,2.77
39,0,0,0,0,120.72
40,1,1,1,0,170.48
41,0,0,1,0,37.0
42,1,1,1,0,0.0
43,0,0,0,0,112.51
44,0,0,1,0,58.39
45,0,0,0,0,47.94
46,1,0,1,0,47.58
47,0,0,0,0,64.14
48,0,0,0,0,119.1
49,0,0,0,0,110.91
50,1,0,1,0,77.95
51,0,0,0,0,92.28
52,0,0,1,1,226.15
53,0,0,0,0,45.91
54,1,0,0,0,53.38
55,0,0,0,0,26.66
56,0,0,0,0,54.07
57,0,0,0,0,66.03
58,0,0,0,0,39.3
59,0,0,0,0,8.27
60,0,0,1,0,173.6
61,1,1,0,0,63.76
62,0,0,0,0,57.73
63,1,0,1,1,73.04
64,0,0,0,0,50.85
65,1,0,1,0,52.68
66,0,0,0,0,38.41
67,1,0,1,0,23.29
68,1,0,1,0,17.62
69,0,1,1,0,115.77
70,1,0,0,0,100.32
71,0,0,0,0,110.2
72,0,1,0,0,3.1
73,0,0,1,0,52.24
74,0,0,1,0,90.94
75,0,0,0,0,37.52
76,0,0,1,0,0.0
77,0,0,1,0,9.73
78,0,0,0,0,37.58
79,1,0,0,0,83.77
80,1,0,0,0,23.29
81,0,0,0,1,0.0
82,0,0,1,0,204.03
83,1,0,1,0,172.52
84,0,0,0,0,0.48
85,0,0,1,0,15.12
86,0,1,0,0,21.67
87,0,0,0,0,114.89
