region_id,week,treated_region,post,rollout_week,n_users,activation_rate
1,1,1,0,9,690,0.27101
1,2,1,0,9,701,0.28531
1,3,1,0,9,800,0.28125
1,4,1,0,9,844,0.32583
1,5,1,0,9,670,0.30896
1,6,1,0,9,621,0.2818
1,7,1,0,9,605,0.32893
1,8,1,0,9,865,0.30636
1,9,1,1,9,609,0.33498
1,10,1,1,9,620,0.2871
1,11,1,1,9,807,0.34572
1,12,1,1,9,844,0.35545
1,13,1,1,9,848,0.35613
1,14,1,1,9,712,0.36517
1,15,1,1,9,720,0.38472
1,16,1,1,9,816,0.39828
2,1,1,0,9,886,0.28894
2,2,1,0,9,686,0.27405
2,3,1,0,9,879,0.27873
2,4,1,0,9,686,0.30904
2,5,1,0,9,715,0.28112
2,6,1,0,9,728,0.30495
2,7,1,0,9,864,0.30556
2,8,1,0,9,788,0.30457
2,9,1,1,9,707,0.33946
2,10,1,1,9,624,0.35897
2,11,1,1,9,728,0.3489
2,12,1,1,9,646,0.30805
2,13,1,1,9,829,0.32449
2,14,1,1,9,765,0.34641
2,15,1,1,9,765,0.33856
2,16,1,1,9,699,0.33333
3,1,1,0,9,870,0.33563
3,2,1,0,9,826,0.34746
3,3,1,0,9,827,0.33253
3,4,1,0,9,883,0.33749
3,5,1,0,9,633,0.28278
3,6,1,0,9,801,0.32459
3,7,1,0,9,841,0.34602
3,8,1,0,9,828,0.34541
3,9,1,1,9,871,0.38117
3,10,1,1,9,816,0.39093
3,11,1,1,9,894,0.39709
3,12,1,1,9,899,0.36707
3,13,1,1,9,642,0.40187
3,14,1,1,9,701,0.42083
3,15,1,1,9,700,0.42
3,16,1,1,9,730,0.37671
4,1,1,0,9,680,0.31471
4,2,1,0,9,861,0.30546
4,3,1,0,9,700,0.29429
4,4,1,0,9,652,0.30521
4,5,1,0,9,723,0.32089
4,6,1,0,9,824,0.31796
4,7,1,0,9,653,0.34609
4,8,1,0,9,765,0.32157
4,9,1,1,9,807,0.35688
4,10,1,1,9,898,0.35301
4,11,1,1,9,645,0.36124
4,12,1,1,9,804,0.34204
4,13,1,1,9,789,0.32826
4,14,1,1,9,773,0.38292
4,15,1,1,9,616,0.37013
4,16,1,1,9,851,0.37368
5,1,1,0,9,786,0.25191
5,2,1,0,9,655,0.24885
5,3,1,0,9,636,0.29874
5,4,1,0,9,684,0.26316
5,5,1,0,9,702,0.26353
5,6,1,0,9,803,0.26027
5,7,1,0,9,686,0.26239
5,8,1,0,9,739,0.29905
5,9,1,1,9,649,0.31741
5,10,1,1,9,844,0.29621
5,11,1,1,9,709,0.29196
5,12,1,1,9,878,0.31435
5,13,1,1,9,826,0.30145
5,14,1,1,9,884,0.33937
5,15,1,1,9,629,0.32909
5,16,1,1,9,632,0.32911
6,1,1,0,9,764,0.28272
6,2,1,0,9,660,0.30152
6,3,1,0,9,790,0.27595
6,4,1,0,9,839,0.30989
6,5,1,0,9,867,0.30681
6,6,1,0,9,815,0.30552
6,7,1,0,9,654,0.30275
6,8,1,0,9,889,0.28684
6,9,1,1,9,832,0.37019
6,10,1,1,9,733,0.3397
6,11,1,1,9,713,0.32539
6,12,1,1,9,664,0.3238
6,13,1,1,9,710,0.32958
6,14,1,1,9,809,0.36218
6,15,1,1,9,833,0.33854
6,16,1,1,9,734,0.33106
7,1,0,0,9,773,0.30918
7,2,0,0,9,731,0.30096
7,3,0,0,9,877,0.32725
7,4,0,0,9,884,0.32805
7,5,0,0,9,739,0.32476
7,6,0,0,9,837,0.35364
7,7,0,0,9,835,0.34611
7,8,0,0,9,650,0.34308
7,9,0,1,9,879,0.36405
7,10,0,1,9,637,0.33281
7,11,0,1,9,842,0.31591
7,12,0,1,9,804,0.37438
7,13,0,1,9,633,0.38073
7,14,0,1,9,841,0.34958
7,15,0,1,9,667,0.36132
7,16,0,1,9,697,0.36442
8,1,0,0,9,684,0.32164
8,2,0,0,9,664,0.29518
8,3,0,0,9,891,0.30864
8,4,0,0,9,714,0.31092
8,5,0,0,9,709,0.36953
8,6,0,0,9,823,0.31227
8,7,0,0,9,752,0.33644
8,8,0,0,9,751,0.34354
8,9,0,1,9,767,0.34289
8,10,0,1,9,857,0.35706
8,11,0,1,9,814,0.35012
8,12,0,1,9,858,0.35315
8,13,0,1,9,798,0.34712
8,14,0,1,9,817,0.35863
8,15,0,1,9,632,0.36076
8,16,0,1,9,698,0.37393
9,1,0,0,9,612,0.29248
9,2,0,0,9,653,0.29862
9,3,0,0,9,666,0.26426
9,4,0,0,9,701,0.35093
9,5,0,0,9,850,0.29412
9,6,0,0,9,754,0.28249
9,7,0,0,9,726,0.32369
9,8,0,0,9,872,0.28326
9,9,0,1,9,829,0.31725
9,10,0,1,9,727,0.33425
9,11,0,1,9,825,0.32121
9,12,0,1,9,767,0.30378
9,13,0,1,9,836,0.32536
9,14,0,1,9,813,0.34563
9,15,0,1,9,726,0.32369
9,16,0,1,9,744,0.34677
10,1,0,0,9,837,0.3417
