user_id,signup_day,assignment,channel,country_tier,device,age_bucket,onboarding_minutes
1,11,treatment,paid,1,ios,35-49,16.96
2,10,control,organic,1,ios,18-24,6.18
3,16,treatment,paid,1,ios,18-24,8.79
4,27,control,organic,1,ios,50+,7.33
5,0,treatment,organic,1,ios,25-34,11.3
6,23,treatment,paid,1,android,35-49,7.08
7,16,treatment,organic,1,android,18-24,2.47
8,18,control,paid,1,ios,18-24,14.76
9,12,control,referral,1,android,35-49,13.23
10,10,control,referral,1,ios,25-34,7.37
11,18,treatment,referral,1,ios,25-34,26.78
12,4,treatment,referral,2,ios,25-34,10.86
13,23,treatment,referral,2,ios,35-49,6.37
14,3,treatment,organic,1,android,50+,19.09
15,21,treatment,paid,1,ios,25-34,10.41
16,8,treatment,organic,1,ios,25-34,4.07
17,26,treatment,paid,1,ios,35-49,8.83
18,15,control,organic,1,ios,35-49,1.29
19,15,control,organic,2,ios,50+,1.51
20,19,control,organic,1,ios,50+,7.53
21,11,treatment,paid,1,ios,35-49,15.89
22,22,control,referral,2,ios,25-34,5.26
23,17,control,paid,1,ios,35-49,3.33
24,21,treatment,organic,2,ios,18-24,26.53
25,6,control,paid,1,ios,25-34,20.96
26,11,treatment,paid,1,ios,25-34,10.3
27,9,treatment,paid,1,android,25-34,17.44
28,23,control,organic,2,android,35-49,18.23
29,4,control,organic,1,ios,25-34,8.53
30,23,treatment,paid,1,android,25-34,3.86
31,1,treatment,referral,2,android,18-24,8.93
32,0,control,paid,1,android,25-34,12.55
33,26,treatment,organic,1,ios,35-49,3.85
34,26,treatment,paid,1,android,25-34,18.96
35,19,control,paid,2,ios,18-24,9.73
36,22,treatment,paid,2,ios,25-34,11.14
37,22,control,referral,1,android,25-34,22.17
38,10,treatment,organic,1,android,25-34,6.12
39,1,control,referral,2,ios,25-34,5.12
40,27,treatment,organic,1,ios,25-34,22.21
41,8,control,paid,2,ios,25-34,14.87
42,20,treatment,organic,1,android,35-49,19.28
43,17,control,paid,2,ios,50+,5.44
44,7,control,referral,1,ios,25-34,13.34
45,7,control,referral,2,android,25-34,11.26
46,21,control,paid,1,android,35-49,25.62
47,24,control,paid,2,android,35-49,10.74
48,26,control,paid,2,ios,25-34,8.44
49,4,control,paid,1,ios,25-34,18.07
50,7,control,organic,1,ios,25-34,25.13
51,5,control,referral,2,ios,25-34,23.4
52,12,control,organic,1,android,35-49,35.22
53,11,control,organic,2,android,18-24,7.32
54,26,treatment,paid,2,android,25-34,16.88
55,18,control,organic,1,ios,50+,9.15
56,13,control,organic,1,android,50+,9.8
57,22,control,paid,2,ios,35-49,4.11
58,26,treatment,organic,1,ios,25-34,0.34
59,19,control,paid,1,android,25-34,6.58
60,5,control,referral,1,android,18-24,8.53
61,4,treatment,organic,2,ios,35-49,5.8
62,5,treatment,organic,1,ios,35-49,20.0
63,2,control,organic,1,ios,25-34,18.69
64,11,control,organic,1,android,50+,11.64
65,8,treatment,organic,2,android,25-34,18.28
66,27,treatment,paid,1,android,25-34,4.54
67,6,treatment,referral,2,android,25-34,13.61
68,7,control,organic,1,ios,50+,13.72
69,1,treatment,referral,1,android,18-24,1.36
70,21,treatment,organic,1,ios,25-34,8.12
71,22,control,organic,2,ios,18-24,13.41
72,1,treatment,referral,1,android,25-34,20.93
73,20,treatment,paid,1,ios,18-24,10.71
74,4,control,organic,2,ios,18-24,5.94
75,12,control,referral,1,ios,25-34,13.26
76,4,treatment,referral,1,android,35-49,12.37
77,16,treatment,paid,2,android,50+,6.79
78,13,control,organic,1,ios,25-34,18.22
79,10,control,paid,2,android,25-34,7.35
80,18,treatment,organic,1,ios,25-34,4.88
81,14,control,organic,2,ios,18-24,4.66
82,6,control,referral,1,android,25-34,33.47
83,18,control,organic,1,ios,25-34,9.7
84,17,treatment,paid,2,ios,25-34,5.0
85,6,control,organic,1,android,25-34,20.97
86,19,treatment,paid,1,ios,25-34,14.77
87,22,control,paid,2,android,50+,20.71
88,11,treatment,organic,2,ios,25-34,11.55
89,3,treatment,referral,1,android,25-34,7.17
90,3,treatment,organic,1,ios,25-34,8.34
91,7,control,paid,1,ios,35-49,6.73
92,22,treatment,organic,1,ios,18-24,4.7
93,17,treatment,organic,1,ios,25-34,7.71
94,7,control,organic,1,ios,35-49,0.9
95,22,treatment,referral,1,ios,50+,14.22
96,4,control,paid,1,ios,18-24,24.32
97,10,control,paid,1,ios,35-49,5.72
98,25,control,referral,2,android,35-49,18.28
99,1,treatment,paid,1,ios,18-24,3.34
100,8,treatment,organic,1,ios,35-49,8.6
101,18,control,paid,1,android,35-49,9.85
102,15,control,paid,1,ios,35-49,13.66
103,21,treatment,paid,2,ios,25-34,12.25
104,17,control,organic,1,ios,35-49,9.86
105,16,control,organic,2,android,25-34,16.33
106,14,control,paid,1,ios,25-34,11.75
107,10,treatment,organic,2,android,18-24,21.54
108,9,control,paid,1,ios,35-49,7.8
109,12,treatment,paid,2,ios,35-49,13.4
110,13,control,paid,1,ios,35-49,18.38
111,21,control,organic,1,android,25-34,12.48
112,9,treatment,paid,1,android,25-34,19.86
113,3,treatment,organic,1,ios,35-49,31.15
114,0,treatment,organic,1,ios,35-49,20.28
115,2,treatment,paid,2,android,35-49,1.46
116,1,control,organic,2,ios,25-34,4.78
117,6,treatment,organic,1,android,50+,3.03
118,17,control,referral,2,ios,18-24,19.01
119,11,control,paid,1,android,35-49,9.42
120,21,treatment,paid,2,android,25-34,19.59
121,5,control,organic,1,ios,18-24,12.04
122,4,treatment,paid,1,ios,18-24,3.8
123,2,control,organic,1,android,25-34,3.56
124,25,control,organic,1,android,25-34,7.93
125,1,treatment,organic,2,ios,18-24,4.1
126,4,treatment,organic,1,android,25-34,7.61
127,3,treatment,paid,2,ios,25-34,8.11
128,19,control,organic,1,ios,35-49,4.61
129,1,control,referral,1,ios,18-24,2.02
130,20,treatment,paid,1,android,25-34,7.76
131,13,control,organic,2,ios,18-24,3.49
132,7,treatment,referral,1,ios,35-49,2.53
133,16,treatment,referral,2,android,18-24,23.68
134,5,treatment,paid,2,ios,35-49,14.9
135,21,treatment,organic,1,ios,18-24,19.12
136,18,control,referral,1,ios,35-49,20.25
137,5,control,organic,1,ios,25-34,16.05
138,9,control,organic,1,android,35-49,3.14
139,18,treatment,paid,1,ios,18-24,1.52
140,10,control,organic,1,android,50+,3.31
141,5,treatment,organic,1,ios,25-34,3.48
142,22,treatment,paid,1,ios,25-34,10.04
143,3,treatment,paid,2,android,35-49,20.12
144,14,treatment,paid,1,ios,18-24,18.3
145,16,treatment,paid,1,android,25-34,6.46
